Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh,CEV_2_SOE_kWh,CEV_2_Max_SOE_kWh,CEV_2_Min_SOE_kWh,CEV_3_SOE_kWh,CEV_3_Max_SOE_kWh,CEV_3_Min_SOE_kWh,CEV_4_SOE_kWh,CEV_4_Max_SOE_kWh,CEV_4_Min_SOE_kWh
16,03:45:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
17,04:00:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
18,04:15:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
19,04:30:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
20,04:45:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
21,05:00:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
22,05:15:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
23,05:30:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
24,05:45:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
25,06:00:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
26,06:15:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
27,06:30:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
28,06:45:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
29,07:00:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
30,07:15:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
31,07:30:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
32,07:45:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
33,08:00:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
34,08:15:00,19.05,21.78,3.564,25.0,27.5,4.5,37.5,44.0,7.2,45.0,49.5,8.1
35,08:30:00,18.3,21.78,3.564,25.0,27.5,4.5,35.0,44.0,7.2,45.0,49.5,8.1
36,08:45:00,17.55,21.78,3.564,25.0,27.5,4.5,32.5,44.0,7.2,45.0,49.5,8.1
37,09:00:00,16.8,21.78,3.564,25.0,27.5,4.5,30.0,44.0,7.2,45.0,49.5,8.1
38,09:15:00,16.05,21.78,3.564,25.0,27.5,4.5,27.5,44.0,7.2,45.0,49.5,8.1
39,09:30:00,15.3,21.78,3.564,25.0,27.5,4.5,25.0,44.0,7.2,45.0,49.5,8.1
40,09:45:00,14.55,21.78,3.564,25.0,27.5,4.5,22.5,44.0,7.2,45.0,49.5,8.1
41,10:00:00,13.8,21.78,3.564,25.0,27.5,4.5,20.0,44.0,7.2,45.0,49.5,8.1
42,10:15:00,13.05,21.78,3.564,25.0,27.5,4.5,17.5,44.0,7.2,45.0,49.5,8.1
43,10:30:00,12.3,21.78,3.564,25.0,27.5,4.5,15.0,44.0,7.2,45.0,49.5,8.1
44,10:45:00,11.55,21.78,3.564,25.0,27.5,4.5,12.5,44.0,7.2,45.0,49.5,8.1
45,11:00:00,10.8,21.78,3.564,25.0,27.5,4.5,10.0,44.0,7.2,45.0,49.5,8.1
46,11:15:00,10.8,21.78,3.564,25.0,27.5,4.5,10.0,44.0,7.2,45.0,49.5,8.1
47,11:30:00,10.800000000000004,21.78,3.564,25.0,27.5,4.5,28.999999999999986,44.0,7.2,45.0,49.5,8.1
48,11:45:00,19.8,21.78,3.564,25.0,27.5,4.5,38.49999999999997,44.0,7.2,45.0,49.5,8.1
49,12:00:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
50,12:15:00,19.05,21.78,3.564,24.0,27.5,4.5,38.75,44.0,7.2,43.25,49.5,8.1
51,12:30:00,18.3,21.78,3.564,23.0,27.5,4.5,37.5,44.0,7.2,41.5,49.5,8.1
52,12:45:00,17.55,21.78,3.564,22.0,27.5,4.5,36.25,44.0,7.2,39.75,49.5,8.1
53,13:00:00,16.8,21.78,3.564,21.0,27.5,4.5,35.0,44.0,7.2,38.0,49.5,8.1
54,13:15:00,16.05,21.78,3.564,20.0,27.5,4.5,33.75,44.0,7.2,36.25,49.5,8.1
55,13:30:00,15.3,21.78,3.564,19.0,27.5,4.5,32.5,44.0,7.2,34.5,49.5,8.1
56,13:45:00,14.55,21.78,3.564,18.0,27.5,4.5,31.25,44.0,7.2,32.75,49.5,8.1
57,14:00:00,13.8,21.78,3.564,17.0,27.5,4.5,30.0,44.0,7.2,31.0,49.5,8.1
58,14:15:00,13.05,21.78,3.564,16.0,27.5,4.5,28.75,44.0,7.2,29.25,49.5,8.1
59,14:30:00,12.3,21.78,3.564,15.0,27.5,4.5,27.5,44.0,7.2,27.5,49.5,8.1
60,14:45:00,11.55,21.78,3.564,14.0,27.5,4.5,26.25,44.0,7.2,25.75,49.5,8.1
61,15:00:00,10.8,21.78,3.564,13.0,27.5,4.5,25.0,44.0,7.2,24.0,49.5,8.1
62,15:15:00,10.05,21.78,3.564,12.0,27.5,4.5,23.75,44.0,7.2,22.25,49.5,8.1
63,15:30:00,9.3,21.78,3.564,11.0,27.5,4.5,22.5,44.0,7.2,20.5,49.5,8.1
64,15:45:00,8.55,21.78,3.564,10.0,27.5,4.5,21.25,44.0,7.2,18.75,49.5,8.1
65,16:00:00,7.800000000000001,21.78,3.564,9.0,27.5,4.5,20.0,44.0,7.2,17.0,49.5,8.1
66,16:15:00,7.050000000000001,21.78,3.564,8.0,27.5,4.5,18.75,44.0,7.2,15.25,49.5,8.1
67,16:30:00,6.300000000000001,21.78,3.564,7.0,27.5,4.5,17.5,44.0,7.2,13.5,49.5,8.1
68,16:45:00,5.550000000000001,21.78,3.564,6.0,27.5,4.5,16.25,44.0,7.2,11.75,49.5,8.1
69,17:00:00,4.800000000000001,21.78,3.564,5.0,27.5,4.5,15.0,44.0,7.2,10.0,49.5,8.1
70,17:15:00,10.300000000000011,21.78,3.564,14.500000000000002,27.5,4.5,24.5,44.0,7.2,19.5,49.5,8.1
71,17:30:00,19.799999999999986,21.78,3.564,24.00000000000003,27.5,4.5,24.500000000000007,44.0,7.2,29.0,49.5,8.1
72,17:45:00,19.8,21.78,3.564,24.00000000000003,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
73,18:00:00,19.8,21.78,3.564,24.00000000000003,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
74,18:15:00,19.8,21.78,3.564,24.00000000000003,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
75,18:30:00,19.8,21.78,3.564,24.000000000000018,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
76,18:45:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
77,19:00:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
78,19:15:00,19.8,21.78,3.564,25.000000000000007,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
79,19:30:00,19.8,21.78,3.564,25.000000000000007,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
80,19:45:00,19.8,21.78,3.564,25.000000000000007,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
81,20:00:00,19.8,21.78,3.564,24.999999999999996,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
82,20:15:00,19.8,21.78,3.564,24.999999999999996,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
83,20:30:00,19.8,21.78,3.564,24.999999999999996,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
84,20:45:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
85,21:00:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
86,21:15:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
87,21:30:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
88,21:45:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
89,22:00:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
90,22:15:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
91,22:30:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
92,22:45:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
93,23:00:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
94,23:15:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
95,23:30:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
96,23:45:00,19.8,21.78,3.564,25.0,27.5,4.5,40.0,44.0,7.2,45.0,49.5,8.1
