Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh,CEV_2_SOE_kWh,CEV_2_Max_SOE_kWh,CEV_2_Min_SOE_kWh
49,12:00:00,19.8,21.78,3.564,25.0,27.5,4.5
50,12:15:00,19.05,21.78,3.564,24.0,27.5,4.5
51,12:30:00,18.3,21.78,3.564,23.0,27.5,4.5
52,12:45:00,17.55,21.78,3.564,22.0,27.5,4.5
53,13:00:00,16.8,21.78,3.564,21.0,27.5,4.5
54,13:15:00,16.05,21.78,3.564,20.0,27.5,4.5
55,13:30:00,15.3,21.78,3.564,19.0,27.5,4.5
56,13:45:00,14.55,21.78,3.564,18.0,27.5,4.5
57,14:00:00,13.8,21.78,3.564,17.0,27.5,4.5
58,14:15:00,13.05,21.78,3.564,16.0,27.5,4.5
59,14:30:00,12.3,21.78,3.564,15.0,27.5,4.5
60,14:45:00,11.55,21.78,3.564,14.0,27.5,4.5
61,15:00:00,10.8,21.78,3.564,13.0,27.5,4.5
62,15:15:00,10.05,21.78,3.564,12.0,27.5,4.5
63,15:30:00,9.3,21.78,3.564,11.0,27.5,4.5
64,15:45:00,8.55,21.78,3.564,10.0,27.5,4.5
65,16:00:00,7.800000000000001,21.78,3.564,9.0,27.5,4.5
66,16:15:00,7.050000000000001,21.78,3.564,8.0,27.5,4.5
67,16:30:00,6.300000000000001,21.78,3.564,7.0,27.5,4.5
68,16:45:00,5.550000000000001,21.78,3.564,6.0,27.5,4.5
69,17:00:00,4.800000000000001,21.78,3.564,5.0,27.5,4.5
70,17:15:00,14.3,21.78,3.564,14.5,27.5,4.5
71,17:30:00,19.8,21.78,3.564,24.0,27.5,4.5
72,17:45:00,19.8,21.78,3.564,24.0,27.5,4.5
73,18:00:00,19.8,21.78,3.564,25.0,27.5,4.5
74,18:15:00,19.8,21.78,3.564,25.0,27.5,4.5
75,18:30:00,19.8,21.78,3.564,25.0,27.5,4.5
76,18:45:00,19.8,21.78,3.564,25.0,27.5,4.5
77,19:00:00,19.8,21.78,3.564,25.0,27.5,4.5
78,19:15:00,19.8,21.78,3.564,25.0,27.5,4.5
79,19:30:00,19.8,21.78,3.564,25.0,27.5,4.5
80,19:45:00,19.8,21.78,3.564,25.0,27.5,4.5
81,20:00:00,19.8,21.78,3.564,25.0,27.5,4.5
82,20:15:00,19.8,21.78,3.564,25.0,27.5,4.5
83,20:30:00,19.8,21.78,3.564,25.0,27.5,4.5
84,20:45:00,19.8,21.78,3.564,25.0,27.5,4.5
85,21:00:00,19.8,21.78,3.564,25.0,27.5,4.5
86,21:15:00,19.8,21.78,3.564,25.0,27.5,4.5
87,21:30:00,19.8,21.78,3.564,25.0,27.5,4.5
88,21:45:00,19.8,21.78,3.564,25.0,27.5,4.5
89,22:00:00,19.8,21.78,3.564,25.0,27.5,4.5
90,22:15:00,19.8,21.78,3.564,25.0,27.5,4.5
91,22:30:00,19.8,21.78,3.564,25.0,27.5,4.5
92,22:45:00,19.8,21.78,3.564,25.0,27.5,4.5
93,23:00:00,19.8,21.78,3.564,25.0,27.5,4.5
94,23:15:00,19.8,21.78,3.564,25.0,27.5,4.5
95,23:30:00,19.8,21.78,3.564,25.0,27.5,4.5
96,23:45:00,19.8,21.78,3.564,25.0,27.5,4.5
