Time_Period,Time_Label,Grid_Energy_kWh,Energy_Cost_USD,CO2_Emissions_kg,Cumulative_Energy_Cost_USD,Cumulative_CO2_Emissions_kg,Missed_Work_kWh
49,12:00:00,4.410505007457955,0.5292606008949545,0.26463030044747726,0.5397869166844282,0.2698934583422141,1.25
50,12:15:00,4.410505007457955,0.5292606008949545,0.26463030044747726,1.0690475175793828,0.5345237587896914,0.0
51,12:30:00,4.410505007457955,0.5292606008949545,0.26463030044747726,1.5983081184743373,0.7991540592371686,0.0
52,12:45:00,4.410505007457955,0.5292606008949545,0.26463030044747726,2.127568719369292,1.063784359684646,0.0
53,13:00:00,4.410505007457955,0.5292606008949545,0.26463030044747726,2.6568293202642463,1.3284146601321232,0.0
54,13:15:00,4.410505007457955,0.5292606008949545,0.26463030044747726,3.186089921159201,1.5930449605796004,0.0
55,13:30:00,4.410505007457955,0.5292606008949545,0.26463030044747726,3.7153505220541554,1.8576752610270777,0.0
56,13:45:00,4.410505007457955,0.5292606008949545,0.26463030044747726,4.2446111229491095,2.1223055614745547,0.0
57,14:00:00,0.39740038354868473,0.07153206903876325,0.03576603451938162,4.316143191987873,2.1580715959939365,0.0
58,14:15:00,0.0,0.0,0.0,4.316143191987873,2.1580715959939365,0.0
59,14:30:00,0.0,0.0,0.0,4.316143191987873,2.1580715959939365,0.0
60,14:45:00,0.0,0.0,0.0,4.316143191987873,2.1580715959939365,0.0
61,15:00:00,0.0,0.0,0.0,4.316143191987873,2.1580715959939365,0.0
62,15:15:00,0.0,0.0,0.0,4.316143191987873,2.1580715959939365,0.0
63,15:30:00,0.0,0.0,0.0,4.316143191987873,2.1580715959939365,0.0
64,15:45:00,0.0,0.0,0.0,4.316143191987873,2.1580715959939365,0.0
65,16:00:00,0.0,0.0,0.0,4.316143191987873,2.1580715959939365,-6.217248937900877e-15
66,16:15:00,-4.281855589432409e-14,-7.707340060978336e-15,-3.853670030489168e-15,4.316143191987865,2.1580715959939325,0.0
67,16:30:00,0.0,0.0,0.0,4.316143191987865,2.1580715959939325,0.0
68,16:45:00,0.0,0.0,0.0,4.316143191987865,2.1580715959939325,0.0
69,17:00:00,0.0,0.0,0.0,4.316143191987865,2.1580715959939325,0.0
70,17:15:00,4.410505007457955,1.1026262518644887,0.5292606008949545,5.418769443852353,2.687332196888887,0.0
71,17:30:00,4.410505007457955,1.1026262518644887,0.5292606008949545,6.521395695716842,3.2165927977838416,0.0
72,17:45:00,4.410505007457955,1.1026262518644887,0.5292606008949545,7.624021947581332,3.745853398678796,0.0
73,18:00:00,4.410505007457955,1.1026262518644887,0.5292606008949545,8.72664819944582,4.275113999573751,0.0
74,18:15:00,4.410505007457955,1.1026262518644887,0.5292606008949545,9.82927445131031,4.804374600468705,0.0
75,18:30:00,4.410505007457955,1.1026262518644887,0.5292606008949545,10.931900703174799,5.333635201363659,0.0
76,18:45:00,4.410505007457955,1.1026262518644887,0.5292606008949545,12.034526955039288,5.862895802258613,0.0
77,19:00:00,4.410505007457955,1.1026262518644887,0.5292606008949545,13.137153206903777,6.392156403153567,0.0
78,19:15:00,4.410505007457955,1.1026262518644887,0.5292606008949545,14.239779458768266,6.9214170040485214,0.0
79,19:30:00,4.410505007457955,1.1026262518644887,0.5292606008949545,15.342405710632756,7.4506776049434755,0.0
80,19:45:00,4.410505007457955,1.1026262518644887,0.5292606008949545,16.445031962497243,7.97993820583843,0.0
81,20:00:00,4.410505007457955,0.6615757511186932,0.30873535052205686,17.106607713615936,8.288673556360486,0.0
82,20:15:00,4.410505007457955,0.6615757511186932,0.30873535052205686,17.76818346473463,8.597408906882542,0.0
83,20:30:00,4.410505007457955,0.6615757511186932,0.30873535052205686,18.429759215853323,8.906144257404598,0.0
84,20:45:00,4.410505007457955,0.6615757511186932,0.30873535052205686,19.091334966972017,9.214879607926655,0.0
85,21:00:00,4.410505007457955,0.6615757511186932,0.30873535052205686,19.75291071809071,9.52361495844871,0.0
86,21:15:00,4.410505007457955,0.6615757511186932,0.30873535052205686,20.414486469209404,9.832350308970767,0.0
87,21:30:00,4.410505007457955,0.6615757511186932,0.30873535052205686,21.076062220328097,10.141085659492823,0.0
88,21:45:00,4.410505007457955,0.6615757511186932,0.30873535052205686,21.73763797144679,10.44982101001488,0.0
89,22:00:00,4.410505007457955,0.6615757511186932,0.30873535052205686,22.399213722565484,10.758556360536936,0.0
90,22:15:00,4.410505007457955,0.6615757511186932,0.30873535052205686,23.060789473684178,11.067291711058992,0.0
91,22:30:00,4.410505007457955,0.6615757511186932,0.30873535052205686,23.72236522480287,11.376027061581048,0.0
92,22:45:00,4.410505007457955,0.6615757511186932,0.30873535052205686,24.383940975921565,11.684762412103105,0.0
93,23:00:00,4.410505007457955,0.6615757511186932,0.30873535052205686,25.04551672704026,11.99349776262516,0.0
94,23:15:00,4.410505007457955,0.6615757511186932,0.30873535052205686,25.707092478158952,12.302233113147217,0.0
95,23:30:00,4.4105050074579255,0.6615757511186888,0.3087353505220548,26.36866822927764,12.610968463669272,0.0
96,23:45:00,0.0,0.0,0.0,26.36866822927764,12.610968463669272,0.0
